id_no,name_en,name_fr,date_inscr,sec_date,danger_lis,longitude,latitude,area_ha,area_ha1,C1,C2,C3,C4,C5,C6,criteria_t,category,category_s,states_en,states_fr,region_en,region_fr,iso_code,undp_code,transbound,no_serial,her_type1,her_type2,her_type3,buffer_ha,srtm_min,srtm_max,srtm_mean,p_lecz,ur_grump,ur_mod_buf,ur_joined,dist_MCD,dist_gshhs,dist_join
36,Medina of Tunis,Médina de Tunis,1979,0, ,10.16998584,36.79955799,296.41,298.4100037,0,1,1,0,1,0,(ii)(iii)(v),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,1,2,,,190.19,6,52,20.088,0.256172209,1,1,1,968.317709,8476.570679,968.317709
37,Archaeological Site of Carthage,Site archéologique de Carthage,1979,0, ,10.31521854,36.85153799,616.02,365.6220093,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,13,2,3,,0,-3,59,25.251,0.297267227,1,1,1,0,0,0
79,Paphos,Paphos,1980,0, ,32.40772424,34.75956296,162.0171,161.5549927,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,3,,,0,0,93,18.563,0.517289359,1,1,1,0,0,0
95,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.11668871,42.63096616,96.7,91.5500031,1,0,1,1,0,0,(i)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,2,,,53.7,-4,82,22.523,0.238213502,1,1,1,0,0,0
97,Historical Complex of Split with the Palace of Diocletian,Noyau historique de Split avec le palais de Dioclétien,1979,0, ,16.43914232,43.50869903,20.8,20.6620007,0,1,1,1,0,0,(ii)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,1,2,,,0,-3,16,5.0556,0.738397191,1,1,1,0,0,0
125,Natural and Culturo-Historical Region of Kotor,Contrée naturelle et culturo-historique de Kotor,1979,0,P 1979-2003,18.75026368,42.46337537,14600,10100.59961,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Montenegro,Monténégro,Europe and North America,Europe et Amérique du nord,me,mne,0,1,1,2,,36491,-10,1374,358.69,0.265859027,1,1,0,0,0,0
131,City of Valletta,Ville de La Valette,1980,0, ,14.5135434,35.89893083,55.5,73.1448975,1,0,0,0,0,1,(i)(vi),Cultural,C,Malta,Malte,Europe and North America,Europe et Amérique du nord,mt,mlt,0,1,2,,,0,0,68,40.13,0.085241716,1,1,1,0,0,0
164,"Arles, Roman and Romanesque Monuments","Arles, monuments romains et romans",1981,0, ,4.629322893,43.67769678,65,64.3830032,0,1,0,1,0,0,(ii)(iv),Cultural,C,France,France,Europe and North America,Europe et Amérique du nord,fr,fra,0,1,2,,,0,2,29,15.194,0.223063184,1,1,1,25700.40485,23654.82347,25700.40485
183,Archaeological Site of Leptis Magna,Site archéologique de Leptis Magna,1982,0, ,14.29386611,32.63696721,-9999,131.5650024,1,1,1,0,0,0,(i)(ii)(iii),Cultural,C,Libya,Libye,Arab States,États arabes,ly,lby,0,1,3,,,-9999,0,30,12.824,0.337236316,1,1,0,0,27.04842146,0
184,Archaeological Site of Sabratha,Site archéologique de Sabratha,1982,0, ,12.48790907,32.80614153,-9999,43.6198997,0,0,1,0,0,0,(iii),Cultural,C,Libya,Libye,Arab States,États arabes,ly,lby,0,1,3,,,-9999,1,16,10.694,0.457572396,1,1,0,0,9.030832107,0
193,Tipasa,Tipasa,1982,0,P 2002-2006,2.442423886,36.59347065,52.16,54.2321014,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,3,,,0,-3,263,46.078,0.15691783,1,1,1,0,0,0
295,Byblos,Byblos,1984,0, ,35.6462339,34.11897624,-9999,10.7895002,0,0,1,1,0,1,(iii)(iv)(vi),Cultural,C,Lebanon,Liban,Arab States,États arabes,lb,lbn,0,1,3,,,-9999,0,26,11.933,0.302632398,0,1,1,0,0,0
299,Tyre,Tyr,1984,0, ,35.2151,33.2615,153.8,164.9629974,0,0,1,0,0,1,(iii)(vi),Cultural,C,Lebanon,Liban,Arab States,États arabes,lb,lbn,0,1,2,3,,0,-2,25,10.53,0.732123845,1,1,1,0,0,0
332,Punic Town of Kerkuane and its Necropolis,Cité punique de Kerkouane et sa nécropole,1985,1986, ,11.0990538,36.94626965,0.1119,12.5288,0,0,1,0,0,0,(iii),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,,,0,0,23,5.6875,0.922055312,1,0,0,0,108.3862766,0
356,Historic Areas of Istanbul,Zones historiques d'Istanbul,1985,0, ,28.91737319,41.00362273,678,697.5490112,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,4,2,,,0,-1,88,39.325,0.099520142,1,1,1,0,0,0
394,Venice and its Lagoon,Venise et sa lagune,1987,0, ,12.37550933,45.47187121,-9999,69672.10156,1,1,1,1,1,1,(i)(ii)(iii)(iv)(v)(vi),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,1,1,2,,0,-20,20,-0.62431,0.99972309,1,1,1,0,0,0
395,"Piazza del Duomo, Pisa",Piazza del Duomo à Pise,1987,0, ,10.39554648,43.72326564,8.87,9.2893696,1,1,0,1,0,1,(i)(ii)(iv)(vi),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,1,2,,,254,2,14,7.6471,0.866101734,1,1,1,9136.32983,7458.956936,9136.32983
484,Xanthos-Letoon,Xanthos-Letoon,1988,0, ,29.29342244,36.32730922,126.4,206.8130035,0,1,1,0,0,0,(ii)(iii),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,3,3,,,63.4,3,110,43.786,0.203955161,0,0,0,3156.242768,3666.287338,3156.242768
493,Medieval City of Rhodes,Ville médiévale de Rhodes,1988,0, ,28.22661784,36.44298405,65.85,54.4710007,0,1,0,1,1,0,(ii)(iv)(v),Cultural,C,Greece,Grèce,Europe and North America,Europe et Amérique du nord,gr,grc,0,1,2,,,0,4,37,21.756,0.082738014,1,1,1,19.244995,167.8169246,19.244995
498,Medina of Sousse,Médina de Sousse,1988,0, ,10.63771385,35.82502914,31.68,32.1898003,0,0,1,1,1,0,(iii)(iv)(v),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,1,2,,,60.99,5,42,25.085,0.050900332,1,1,1,429.373824,308.5571924,308.5571924
530,Delos,Délos,1990,0, ,25.27093963,37.39330385,350.64,344.7369995,0,1,1,1,0,1,(ii)(iii)(iv)(vi),Cultural,C,Greece,Grèce,Europe and North America,Europe et Amérique du nord,gr,grc,0,1,3,,,0,0,97,26.608,0.222769155,0,0,0,0,0,0
565,Kasbah of Algiers,Casbah d'Alger,1992,0, ,3.061006459,36.78510586,60,53.1837997,0,1,0,0,1,0,(ii)(v),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,0,1,2,,,0,0,129,54.026,0.087236125,1,1,1,0,0,0
