unique_id,id_no,site_id,name_seria,name_en,name_fr,date_inscr,sec_date,danger_lis,longitude,latitude,area_ha,area_ha1,C1,C2,C3,C4,C5,C6,criteria_t,category,category_s,states_en,states_fr,region_en,region_fr,iso_code,undp_code,transbound,her_type1,her_type2,buffer_ha,srtm_min,srtm_max,srtm_mean,p_lecz,ur_grump,ur_mod_buf,ur_joined,dist_mcd,dist_gshhs,dist_join
0,570,0, ,Butrint,Butrint,1992,1999, ,20.0377031,39.74476315,-9999,397.2370456,0,1,1,0,1,0,(ii)(iii)(v),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,190.19,6,52,20.088,0.2561722,1,1,1,968.3177089,8476.570679,968.3177089
1,565,0, ,Kasbah of Algiers,Casbah d'Alger,1992,0, ,3.061006459,36.78510586,60,53.18381346,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,13,22,16,0,1,1,1,330.7822128,411.3906401,330.7822128
2,193,3,Mausoleum Kbor er Roumia,Tipasa,Tipasa,1982,0,P 2002-2006,2.553167,36.57483301,7.83,7.838825917,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,34,40,36.444,0,1,1,1,542.7373355,622.0959475,542.7373355
3,193,2,Tipasa: Parc archaéologique est,Tipasa,Tipasa,1982,0,P 2002-2006,2.457751051,36.59384249,16.58,17.90961011,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,0,21,37,24,0,1,1,1,419.5615012,469.6924303,419.5615012
4,193,1,Tipasa: Parc archaéologique ouest,Tipasa,Tipasa,1982,0,P 2002-2006,2.442423886,36.59347065,27.75,28.48361161,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,0,35,51,47,0,1,1,1,581.0770449,648.0369213,581.0770449
5,809,0, ,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,Ensemble épiscopal de la basilique euphrasienne dans le centre historique de Pore?,1997,0, ,13.59322541,45.22869048,1.1,1.149586797,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,0,8,5,1,1,1,1,2.491553827,64.65326007,2.491553827
6,97,0, ,Historical Complex of Split with the Palace of Diocletian,Noyau historique de Split avec le palais de Dioclétien,1979,0, ,16.43914232,43.50869903,20.8,20.66201767,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,6,10,6.8571,1,1,1,1,303.3503848,425.011947,303.3503848
7,95,2,Lokrum Island,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.11668871,42.63096616,72,68.09909378,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,0,25,7.6667,0.7287032,1,1,1,0,77.9835574,0
8,810,0, ,Historic City of Trogir,Ville historique de Trogir,1997,0, ,16.24948866,43.51639052,6.4,6.571156387,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,3,12,5.9091,0.8798554,1,1,1,373.7321655,318.5431941,373.7321655
9,963,0, ,The Cathedral of St James in Šibenik,Cathédrale Saint-Jacques de Šibenik,2000,0, ,15.88911514,43.73566763,0.1,0.083057799,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,26,36,32.333,0,1,1,1,102.7319633,246.8690729,102.7319633
10,95,1,Old City of Dubrovnik,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.10852881,42.64102801,24.7,23.45091738,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,44,46,45,0,1,1,1,355.4008193,543.91029,355.4008193
11,1240,0, ,Stari Grad Plain,Plaine de Stari Grad,2008,0, ,16.63414237,43.18243755,1376.53,1097.865805,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,0,8,4.7105,1,1,1,1,0,0,0
12,79,3,"Aphrodite's Sanctuary (""Palaepaphos"")",Paphos,Paphos,1980,0, ,32.573333,34.70861103,22.9227,22.96583901,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,4,6,5.3333,1,1,1,1,39.47322439,0,39.47322439
13,79,2,Kato Paphos necropolis,Paphos,Paphos,1980,0, ,32.40516267,34.77569745,32.6883,32.69540898,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,-3,59,28.079,0.212403,1,1,1,0,0,0
14,79,1,"Aphrodite's Sacred City, Kato Paphos",Paphos,Paphos,1980,0, ,32.40772424,34.75956296,106.4061,105.8940958,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0,51,93,77.879,0,0,0,0,1630.48662,1083.484918,1630.48662
22,164,0, ,"Arles, Roman and Romanesque Monuments","Arles, monuments romains et romans",1981,0, ,4.629322893,43.67769678,65,64.38296539,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0,0,22,9.5319,0.4175867,0,1,1,0,0,0
24,493,0, ,Medieval City of Rhodes,Ville médiévale de Rhodes,1988,0, ,28.22661784,36.44298405,65.85,54.47099017,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0,0,24,8.4106,0.6601337,1,1,1,0,0,0
25,530,0, ,Delos,Délos,1990,0, ,25.27093963,37.39330385,350.64,344.7367669,1,0,1,1,0,0,(i)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,0,-4,82,26.89,0.1906203,1,1,0,0,0,0
26,595,2,Heraion of Samos,Pythagoreion and Heraion of Samos,Pythagoreion et Heraion de Samos,1992,0, ,26.88967317,37.67902848,382.45,356.1039788,1,0,1,1,0,0,(i)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,53.7,0,37,10.625,0.3763589,1,1,1,0,0,0
27,978,0, ,Old Town of Corfu,Vieille ville de Corfou,2007,0, ,19.92267046,39.62435972,70,64.42864378,0,1,1,1,0,0,(ii)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,0,-3,16,5.0556,0.7383972,1,1,1,0,0,0
28,595,1,Pythagoreion of Samos,Pythagoreion and Heraion of Samos,Pythagoreion et Heraion de Samos,1992,0, ,26.93401282,37.69635438,285.9,246.7956705,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Montenegro,Monténégro,Europe and North America,Europe et Amérique du nord,me,mne,0,1,2,36491,-10,1374,358.69,0.265859,1,1,0,0,0,0
31,1220,1,North Slope of the Mount Carmel (Carmel North),Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,34.987123,32.814607,-9999,3.146231248,1,0,0,0,0,1,(i)(vi),Cultural,C,Malta,Malte,Europe and North America,Europe et Amérique du nord,mt,mlt,0,2,,0,0,68,40.13,0.0852417,1,1,1,0,0,0
