Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
4.795749, 2020-2039, bcc_csm1_1, Jan Average, Croatia, HRV
5.341241, 2020-2039, bcc_csm1_1, Feb Average, Croatia, HRV
6.9521346, 2020-2039, bcc_csm1_1, Mar Average, Croatia, HRV
9.511127, 2020-2039, bcc_csm1_1, Apr Average, Croatia, HRV
14.321731, 2020-2039, bcc_csm1_1, May Average, Croatia, HRV
20.161154, 2020-2039, bcc_csm1_1, Jun Average, Croatia, HRV
23.10815, 2020-2039, bcc_csm1_1, Jul Average, Croatia, HRV
23.378101, 2020-2039, bcc_csm1_1, Aug Average, Croatia, HRV
19.04367, 2020-2039, bcc_csm1_1, Sep Average, Croatia, HRV
13.577697, 2020-2039, bcc_csm1_1, Oct Average, Croatia, HRV
8.514285, 2020-2039, bcc_csm1_1, Nov Average, Croatia, HRV
6.4086385, 2020-2039, bcc_csm1_1, Dec Average, Croatia, HRV
6.6231527, 2020-2039, bcc_csm1_1_m, Jan Average, Croatia, HRV
6.8918757, 2020-2039, bcc_csm1_1_m, Feb Average, Croatia, HRV
8.169862, 2020-2039, bcc_csm1_1_m, Mar Average, Croatia, HRV
11.8276205, 2020-2039, bcc_csm1_1_m, Apr Average, Croatia, HRV
16.08495, 2020-2039, bcc_csm1_1_m, May Average, Croatia, HRV
20.976612, 2020-2039, bcc_csm1_1_m, Jun Average, Croatia, HRV
25.35839, 2020-2039, bcc_csm1_1_m, Jul Average, Croatia, HRV
24.671215, 2020-2039, bcc_csm1_1_m, Aug Average, Croatia, HRV
19.587511, 2020-2039, bcc_csm1_1_m, Sep Average, Croatia, HRV
14.040653, 2020-2039, bcc_csm1_1_m, Oct Average, Croatia, HRV
9.267735, 2020-2039, bcc_csm1_1_m, Nov Average, Croatia, HRV
7.620232, 2020-2039, bcc_csm1_1_m, Dec Average, Croatia, HRV
6.0370703, 2020-2039, ccsm4, Jan Average, Croatia, HRV
6.968733, 2020-2039, ccsm4, Feb Average, Croatia, HRV
9.307451, 2020-2039, ccsm4, Mar Average, Croatia, HRV
12.351618, 2020-2039, ccsm4, Apr Average, Croatia, HRV
16.494003, 2020-2039, ccsm4, May Average, Croatia, HRV
21.604939, 2020-2039, ccsm4, Jun Average, Croatia, HRV
25.104383, 2020-2039, ccsm4, Jul Average, Croatia, HRV
24.797018, 2020-2039, ccsm4, Aug Average, Croatia, HRV
20.12357, 2020-2039, ccsm4, Sep Average, Croatia, HRV
15.16532, 2020-2039, ccsm4, Oct Average, Croatia, HRV
10.232009, 2020-2039, ccsm4, Nov Average, Croatia, HRV
7.3591633, 2020-2039, ccsm4, Dec Average, Croatia, HRV
5.2573333, 2020-2039, cesm1_cam5, Jan Average, Croatia, HRV
5.913352, 2020-2039, cesm1_cam5, Feb Average, Croatia, HRV
9.240676, 2020-2039, cesm1_cam5, Mar Average, Croatia, HRV
12.602445, 2020-2039, cesm1_cam5, Apr Average, Croatia, HRV
16.626862, 2020-2039, cesm1_cam5, May Average, Croatia, HRV
21.065893, 2020-2039, cesm1_cam5, Jun Average, Croatia, HRV
24.129667, 2020-2039, cesm1_cam5, Jul Average, Croatia, HRV
24.448835, 2020-2039, cesm1_cam5, Aug Average, Croatia, HRV
19.589476, 2020-2039, cesm1_cam5, Sep Average, Croatia, HRV
13.458634, 2020-2039, cesm1_cam5, Oct Average, Croatia, HRV
