,unique_id,id_no,site_id,name_seria,name_en,name_fr,date_inscr,sec_date,danger_lis,longitude,latitude,area_ha,area_ha1,C1,C2,C3,C4,C5,C6,criteria_t,category,category_s,states_en,states_fr,region_en,region_fr,iso_code,undp_code,transbound,her_type1,her_type2,buffer_ha,srtm_min,srtm_max,srtm_mean,p_lecz,ur_grump,ur_mod_buf,ur_joined,dist_mcd,dist_gshhs,dist_join,2020_RCP2.6_flood,2020_RCP2.6_erosion,2020_RCP4.5_flood,2020_RCP4.5_erosion,2020_RCP8.5_flood,2020_RCP8.5_erosion,2020_High-End_flood,2020_High-End_erosion,2030_RCP2.6_flood,2030_RCP2.6_erosion,2030_RCP4.5_flood,2030_RCP4.5_erosion,2030_RCP8.5_flood,2030_RCP8.5_erosion,2030_High-End_flood,2030_High-End_erosion,2050_RCP2.6_flood,2050_RCP2.6_erosion,2050_RCP4.5_flood,2050_RCP4.5_erosion,2050_RCP8.5_flood,2050_RCP8.5_erosion,2050_High-End_flood,2050_High-End_erosion,2100_RCP2.6_flood,2100_RCP2.6_erosion,2100_RCP4.5_flood,2100_RCP4.5_erosion,2100_RCP8.5_flood,2100_RCP8.5_erosion,2100_High-End_flood,2100_High-End_erosion
0,0,570,0, ,Butrint,Butrint,1992,1999, ,20.0377031,39.74476315,-9999.0,397.23704560000004,0,1,1,0,1,0,(ii)(iii)(v),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,190.19,6,52,20.088,0.2561722,1,1,1,968.3177089,8476.570679,968.3177089,5.91,5.99,5.91,5.99,5.91,5.99,6.5,6.27,6.06,6.06,6.11,6.08,6.06,6.06,7.04,6.52,6.5,6.27,6.6,6.31,6.65,6.33,8.36,7.15,7.38,6.68,7.97,6.96,8.65,7.29,9.56,8.17
1,1,565,0, ,Kasbah of Algiers,Casbah d'Alger,1992,0, ,3.0610064589999997,36.78510586,60.0,53.18381346,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0.0,13,22,16.0,0.0,1,1,1,330.7822128,411.3906401,330.7822128,3.96,7.33,4.0,7.33,3.96,7.33,4.45,7.33,4.12,7.33,4.16,7.33,4.12,7.33,4.95,7.33,4.49,7.33,4.62,7.33,4.62,7.33,6.1,7.33,5.24,7.33,5.77,7.33,6.23,7.33,6.23,7.33
2,2,193,3,Mausoleum Kbor er Roumia,Tipasa,Tipasa,1982,0,P 2002-2006,2.5531669999999997,36.57483301,7.83,7.838825917,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0.0,34,40,36.444,0.0,1,1,1,542.7373355000001,622.0959475,542.7373355000001,3.99,7.3,4.03,7.3,3.99,7.3,4.51,7.3,4.15,7.3,4.23,7.3,4.19,7.3,4.95,7.3,4.51,7.3,4.63,7.3,4.63,7.3,6.07,7.3,5.27,7.3,5.79,7.3,6.23,7.3,6.35,7.3
3,3,193,2,Tipasa: Parc archaéologique est,Tipasa,Tipasa,1982,0,P 2002-2006,2.457751051,36.59384249,16.58,17.90961011,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,0.0,21,37,24.0,0.0,1,1,1,419.5615012,469.6924303,419.5615012,3.99,7.3,4.03,7.3,3.99,7.3,4.51,7.3,4.15,7.3,4.23,7.3,4.19,7.3,4.95,7.3,4.51,7.3,4.63,7.3,4.63,7.3,6.07,7.3,5.27,7.3,5.79,7.3,6.23,7.3,6.35,7.3
4,4,193,1,Tipasa: Parc archaéologique ouest,Tipasa,Tipasa,1982,0,P 2002-2006,2.442423886,36.59347065,27.75,28.48361161,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,0.0,35,51,47.0,0.0,1,1,1,581.0770449,648.0369212999999,581.0770449,3.99,7.3,4.03,7.3,3.99,7.3,4.51,7.3,4.15,7.3,4.23,7.3,4.19,7.3,4.95,7.3,4.51,7.3,4.63,7.3,4.63,7.3,6.07,7.3,5.27,7.3,5.79,7.3,6.23,7.3,6.35,7.3
5,5,809,0, ,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,Ensemble épiscopal de la basilique euphrasienne dans le centre historique de Pore?,1997,0, ,13.59322541,45.22869048,1.1,1.149586797,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3.0,0.0,0,8,5.0,1.0,1,1,1,2.4915538269999997,64.65326007,2.4915538269999997,6.29,6.3,6.29,6.3,6.29,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.37,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.5,6.3
6,6,97,0, ,Historical Complex of Split with the Palace of Diocletian,Noyau historique de Split avec le palais de Dioclétien,1979,0, ,16.43914232,43.50869903,20.8,20.66201767,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0.0,6,10,6.8571,1.0,1,1,1,303.35038480000003,425.01194699999996,303.35038480000003,5.96,6.59,5.96,6.59,5.96,6.59,6.53,6.59,6.06,6.59,6.1,6.59,6.06,6.59,6.95,6.59,6.34,6.59,6.48,6.59,6.48,6.59,7.96,6.59,7.0,6.59,7.47,6.59,7.96,6.59,8.35,6.59
7,7,95,2,Lokrum Island,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.11668871,42.63096616,72.0,68.09909378,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3.0,0.0,0,25,7.6667,0.7287031999999999,1,1,1,0.0,77.9835574,0.0,4.91,6.59,4.95,6.59,4.91,6.59,5.43,6.59,5.07,6.59,5.07,6.59,5.07,6.59,5.8,6.59,5.35,6.59,5.47,6.59,5.47,6.59,6.84,6.59,6.08,6.59,6.52,6.59,6.85,6.59,6.87,6.59
8,10,95,1,Old City of Dubrovnik,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.10852881,42.64102801,24.7,23.45091738,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0.0,44,46,45.0,0.0,1,1,1,355.4008193,543.91029,355.4008193,4.91,6.59,4.95,6.59,4.91,6.59,5.43,6.59,5.07,6.59,5.07,6.59,5.07,6.59,5.8,6.59,5.35,6.59,5.47,6.59,5.47,6.59,6.84,6.59,6.08,6.59,6.52,6.59,6.85,6.59,6.87,6.59
9,8,810,0, ,Historic City of Trogir,Ville historique de Trogir,1997,0, ,16.24948866,43.51639052,6.4,6.571156387,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0.0,3,12,5.9091,0.8798554,1,1,1,373.7321655,318.5431941,373.7321655,6.77,6.59,6.77,6.59,6.77,6.59,7.34,6.59,6.87,6.59,6.91,6.59,6.87,6.59,7.76,6.59,7.15,6.59,7.29,6.59,7.29,6.59,8.78,6.59,7.8100000000000005,6.59,8.28,6.59,8.8,6.59,10.0,6.59
