the_geom,p_lecz,field_1,unique_id,id_no,site_id,name_seria,name_en,name_fr,date_inscr,sec_date,danger_lis,longitude,latitude,area_ha,area_ha1,c1,c2,c3,c4,c5,c6,criteria_t,category,category_s,states_en,states_fr,region_en,region_fr,iso_code,undp_code,transbound,her_type1,her_type2,buffer_ha,srtm_min,srtm_max,srtm_mean,cartodb_id,ur_grump,ur_mod_buf,ur_joined,dist_mcd,dist_gshhs,dist_join,column_2020_rcp2_6_flood,column_2020_rcp2_6_erosion,column_2020_rcp4_5_flood,column_2020_rcp4_5_erosion,column_2020_rcp8_5_flood,column_2020_rcp8_5_erosion,column_2020_high_end_flood,column_2020_high_end_erosion,column_2030_rcp2_6_flood,column_2030_rcp2_6_erosion,column_2030_rcp4_5_flood,column_2030_rcp4_5_erosion,column_2030_rcp8_5_flood,column_2030_rcp8_5_erosion,column_2030_high_end_flood,column_2030_high_end_erosion,column_2050_rcp2_6_flood,column_2050_rcp2_6_erosion,column_2050_rcp4_5_flood,column_2050_rcp4_5_erosion,column_2050_rcp8_5_flood,column_2050_rcp8_5_erosion,column_2050_high_end_flood,column_2050_high_end_erosion,column_2100_rcp2_6_flood,column_2100_rcp2_6_erosion,column_2100_rcp4_5_flood,column_2100_rcp4_5_erosion,column_2100_rcp8_5_flood,column_2100_rcp8_5_erosion,column_2100_high_end_flood,column_2100_high_end_erosion
0101000020E6100000C06247C242C02840DE6F9B4666BC4640,0.0784425,34,45,394,0, ,Venice and its Lagoon,Venise et sa lagune,1987,0, ,12.37550933,45.47187121,-9999,69672.09297,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0,0,58,29.658,35,1,1,1,0,0,0,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03,10,7.03
0101000020E61000002441B8020A6528403FE1ECD632354640,0.1165655,35,46,788,3,Neonian Baptistry,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.197342,44.415614,0.01,0.009950784,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0,-1,88,40.877,36,1,1,1,76.55604081,349.2198326,76.55604081,9.84,0,9.88,0,9.84,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,8.64
0101000020E610000034750DE9A60934400A421E6654DF4340,0.2561722,0,0,570,0, ,Butrint,Butrint,1992,1999, ,20.0377031,39.74476315,-9999,397.2370456,0,1,1,0,1,0,(ii)(iii)(v),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,190.19,6,52,20.088,1,1,1,1,968.3177089,8476.570679,968.3177089,5.91,5.99,5.91,5.99,5.91,5.99,6.5,6.27,6.06,6.06,6.11,6.08,6.06,6.06,7.04,6.52,6.5,6.27,6.6,6.31,6.65,6.33,8.36,7.15,7.38,6.68,7.97,6.96,8.65,7.29,9.56,8.17
0101000020E610000084FF51F4F07C08408A4C4C597E644240,0,1,1,565,0, ,Kasbah of Algiers,Casbah d'Alger,1992,0, ,3.061006459,36.78510586,60,53.18381346,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,13,22,16,2,1,1,1,330.7822128,411.3906401,330.7822128,3.96,7.33,4,7.33,3.96,7.33,4.45,7.33,4.12,7.33,4.16,7.33,4.12,7.33,4.95,7.33,4.49,7.33,4.62,7.33,4.62,7.33,6.1,7.33,5.24,7.33,5.77,7.33,6.23,7.33,6.23,7.33
0101000020E6100000BBCFF1D1E26C04403D4EC92094494240,0,2,2,193,3,Mausoleum Kbor er Roumia,Tipasa,Tipasa,1982,0,P 2002-2006,2.553167,36.57483301,7.83,7.838825917,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,34,40,36.444,3,1,1,1,542.7373355,622.0959475,542.7373355,3.99,7.3,4.03,7.3,3.99,7.3,4.51,7.3,4.15,7.3,4.23,7.3,4.19,7.3,4.95,7.3,4.51,7.3,4.63,7.3,4.63,7.3,6.07,7.3,5.27,7.3,5.79,7.3,6.23,7.3,6.35,7.3
0101000020E61000007A090E6279A903403AC3DC07034C4240,0,3,3,193,2,Tipasa: Parc archaéologique est,Tipasa,Tipasa,1982,0,P 2002-2006,2.457751051,36.59384249,16.58,17.90961011,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,0,21,37,24,4,1,1,1,419.5615012,469.6924303,419.5615012,3.99,7.3,4.03,7.3,3.99,7.3,4.51,7.3,4.15,7.3,4.23,7.3,4.19,7.3,4.95,7.3,4.51,7.3,4.63,7.3,4.63,7.3,6.07,7.3,5.27,7.3,5.79,7.3,6.23,7.3,6.35,7.3
0101000020E6100000BFB6CA88158A03406471A4D8F64B4240,0,4,4,193,1,Tipasa: Parc archaéologique ouest,Tipasa,Tipasa,1982,0,P 2002-2006,2.442423886,36.59347065,27.75,28.48361161,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,0,35,51,47,5,1,1,1,581.0770449,648.0369213,581.0770449,3.99,7.3,4.03,7.3,3.99,7.3,4.51,7.3,4.15,7.3,4.23,7.3,4.19,7.3,4.95,7.3,4.51,7.3,4.63,7.3,4.63,7.3,6.07,7.3,5.27,7.3,5.79,7.3,6.23,7.3,6.35,7.3
0101000020E61000005F36AE3DBB2F2B40D640CABA459D4640,1,5,5,809,0, ,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,Ensemble épiscopal de la basilique euphrasienne dans le centre historique de Pore?,1997,0, ,13.59322541,45.22869048,1.1,1.149586797,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,0,8,5,6,1,1,1,2.491553827,64.65326007,2.491553827,6.29,6.3,6.29,6.3,6.29,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.37,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.5,6.3
0101000020E610000087B08EA16B703040B0ADC00C1DC14540,1,6,6,97,0, ,Historical Complex of Split with the Palace of Diocletian,Noyau historique de Split avec le palais de Dioclétien,1979,0, ,16.43914232,43.50869903,20.8,20.66201767,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,6,10,6.8571,7,1,1,1,303.3503848,425.011947,303.3503848,5.96,6.59,5.96,6.59,5.96,6.59,6.53,6.59,6.06,6.59,6.1,6.59,6.06,6.59,6.95,6.59,6.34,6.59,6.48,6.59,6.48,6.59,7.96,6.59,7,6.59,7.47,6.59,7.96,6.59,8.35,6.59
0101000020E61000002E43B14FDF1D3240960AC77FC3504540,0.7287032,7,7,95,2,Lokrum Island,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.11668871,42.63096616,72,68.09909378,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,0,25,7.6667,8,1,1,1,0,77.9835574,0,4.91,6.59,4.95,6.59,4.91,6.59,5.43,6.59,5.07,6.59,5.07,6.59,5.07,6.59,5.8,6.59,5.35,6.59,5.47,6.59,5.47,6.59,6.84,6.59,6.08,6.59,6.52,6.59,6.85,6.59,6.87,6.59
